"ID","MonthlyIncome"
1,6021.59875458233
2,19015.2364020149
3,8493.80919989717
4,8821.25186650368
5,2555.38794334362
6,8255.91011407041
7,2300.51393466908
8,6014.54278958902
9,2377.40963689949
10,5840.67480538999
11,19074.2018682543
12,2210.93173472816
13,9067.50438348065
14,2616.02112473559
15,2955.27122793916
16,5535.36365869995
17,5802.02282217614
18,5401.71995748293
19,2829.05772126822
20,6183.02030567681
21,6023.11377979444
22,6365.03116654817
23,4805.20731815581
24,5978.49499427836
25,5779.68541802626
26,19417.7295649938
27,6054.18503807315
28,5729.99232931377
29,9211.9077513258
30,2416.35010641259
31,5849.36432663771
32,2910.74981644722
33,16500.6426842239
34,2787.71174927631
35,5984.30259890597
36,2163.1961123352
37,9241.56498716652
38,6007.9674545865
39,19869.4798141201
40,2319.92942782728
41,16706.7937617865
42,5563.80432698561
43,2957.7535940278
44,19264.8874066351
45,2481.7641761285
46,2408.35638672232
47,6094.06487419438
48,8612.76504571042
49,2078.3579240569
50,2494.3434423783
51,2976.91875226961
52,19545.1582364852
53,3085.08888847624
54,4984.98170496429
55,5890.10289019529
56,2273.17669718159
57,2667.99895331545
58,2703.81715199417
59,12534.6705164566
60,2311.99458810371
61,9276.22379309105
62,8878.47513615146
63,2485.67699397302
64,1968.25894607117
65,2100.66653015063
66,2521.72275191596
67,6072.1474038243
68,2302.51316007359
69,2601.07511726442
70,3169.49844732668
71,3113.24030336968
72,5797.9933848301
73,5770.67818269773
74,2510.80729110123
75,9019.752881395
76,5182.89443812734
77,8785.04045369131
78,16508.0237344257
79,9124.08269535602
80,2369.20589288715
81,6280.05491414003
82,6310.57806972051
83,5802.11197816149
84,5743.23362340631
85,6359.77211756844
86,12424.9733646129
87,6565.31938598031
88,2402.31821165196
89,8564.34942389831
90,19067.8752183705
91,1965.99929646235
92,9004.98360453448
93,2503.3892036601
94,6021.05268156104
95,19003.8332426822
96,6665.195062198
97,16431.977360627
98,6110.88655214845
99,2322.09060505893
100,2527.08228036357
101,2538.2957228177
102,8968.6682976822
103,5653.87804602197
104,2719.80663983899
105,16947.5117521705
106,2556.81233931909
107,5716.13414271861
108,19776.1682343798
109,6238.14310252175
110,2632.89898218336
111,2376.80501585631
112,16484.1000018524
113,9447.99618463436
114,5987.12275212325
115,6417.60264355172
116,8386.62145503563
117,5774.1603125416
118,5425.62982885891
119,3181.37761335292
120,6198.98364176791
121,12669.6171774618
122,2545.08863866252
123,9293.98664727371
124,5880.19471060355
125,5772.1625205797
126,5940.22074619835
127,2760.50528197197
128,5652.74125625621
129,6088.40820620465
130,12355.426781215
131,6005.77895581881
132,5980.69294912924
133,5818.998690924
134,5838.14510057566
135,5194.12554331494
136,5725.86399321625
137,2070.64316377993
138,9440.8288847771
139,2611.0874575392
140,8952.10081030725
141,12688.6738158993
142,2502.55704582611
143,8997.8924482367
144,6036.33933751987
145,6626.75523359447
146,5404.50895069694
147,2794.29944123738
148,6024.53547884981
149,2543.66323285194
150,5646.34974236477
151,6018.86705035723
152,6014.09525024964
153,6195.51377469574
154,6166.7635901418
155,2040.61309618465
156,5397.07905928048
157,6253.23401765953
158,12262.5260652344
159,9027.46631183968
160,12616.048941483
161,5370.26463717282
162,8440.26701197684
163,5843.05999280358
164,5643.18797307731
165,8754.49653234638
166,2350.82451826916
167,16365.5406714132
168,15257.4126436248
169,5957.89499880717
170,3017.34746075326
171,5716.75355052015
172,5892.76136592233
173,9708.46683665635
174,8140.04666341805
175,16396.3388770759
176,2564.38928755929
177,19269.0519242615
178,2620.80634499333
179,8510.67236945403
180,6152.74395053654
181,8999.16205345501
182,6065.73702463608
183,3101.28388913046
184,8670.37493965303
185,2464.48473892429
186,2711.75883731529
187,5550.80735408956
188,16783.5976177002
189,19429.3134216155
190,5401.77724647185
191,5506.32932627185
192,8414.58207398009
193,6334.95014648931
194,5769.22033673603
195,2805.62680689176
196,2552.47908489918
197,2575.03621818928
198,12417.6886535134
199,9582.85220208077
200,2169.02720593232
201,11783.6020950809
202,5568.84505982727
203,6044.07515227281
204,2883.22078616222
205,2601.93354854742
206,2771.36873481266
207,6000.94085007176
208,6644.28114986076
209,2876.41496387942
210,9154.74671766222
211,12015.5559215396
212,19083.2069005465
213,2659.35795588215
214,5904.4639860349
215,2671.27280974302
216,2905.94861075258
217,6452.63481049225
218,16170.1645144719
219,2604.07074398883
220,2718.50769799796
221,5838.34515429612
222,5464.29392662155
223,5439.40584264343
224,2530.1352928268
225,2765.73059131759
226,2640.91143280083
227,2201.33117287463
228,2604.02561788015
229,5638.58741045308
230,12749.6021926127
231,5675.47268011734
232,2394.87538228141
233,12295.7453729835
234,6350.71011502618
235,15953.9212764637
236,9277.7074991373
237,19230.3806304126
238,5496.00568626843
239,2700.20112147215
240,13020.2706896765
241,8725.25128114754
242,18835.1204459603
243,2737.37002384377
244,2627.26771223812
245,6044.96883110774
246,2839.53775422078
247,8655.174645102
248,2552.68420023745
249,5419.04747320468
250,15876.0987688654
251,1913.2441254015
252,5695.42151998236
253,2466.49806351259
254,2040.57524248475
255,13030.7138080706
256,2496.07320297817
257,2228.89428978459
258,5869.5529017879
259,8898.89493466913
260,2714.71058194322
261,2365.48785299372
262,3085.97011817746
263,2593.20513029178
264,2268.42672737174
265,2574.68641609498
266,2439.316674985
267,15751.4933831411
268,2211.3906159894
269,5910.40156240676
270,5765.98975280355
271,5562.67959036378
272,5743.23256648605
273,5711.87610774325
274,5955.1966341758
275,19929.878511523
276,19437.6100677189
277,2489.56015756233
278,2316.41451075926
279,5767.20764818065
280,5807.51825437629
281,6046.89309556358
282,3048.17442023401
283,6208.8043661556
284,6352.09939917071
285,2829.15169334961
286,5660.28236695304
287,2590.28080148635
288,2266.47479699027
289,8556.60709950382
290,2515.86512111933
291,2398.24342455844
292,5226.66217426291
293,2686.07234343062
294,12655.1667344114
295,16109.190602383
296,2538.7067548187
297,5859.72351256692
298,5115.76486026536
299,2155.29467488851
300,2743.159665608
